2023-12-09 16:47:46 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-12-09 16:47:46 [restartedMain] INFO  c.g.p.g.GreenPlateApiApplication - Starting GreenPlateApiApplication using Java 17.0.5 with PID 55878 (/home/rafael/Documentos/Pessoais/projetos/Green-Plate/green-plate-api/target/classes started by rafael in /home/rafael/Documentos/Pessoais/projetos/Green-Plate/green-plate-api)
2023-12-09 16:47:46 [restartedMain] INFO  c.g.p.g.GreenPlateApiApplication - No active profile set, falling back to 1 default profile: "default"
2023-12-09 16:47:47 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-12-09 16:47:47 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-12-09 16:47:48 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-12-09 16:47:48 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 121 ms. Found 10 JPA repository interfaces.
2023-12-09 16:47:50 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8085 (http)
2023-12-09 16:47:50 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2023-12-09 16:47:50 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-12-09 16:47:50 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
2023-12-09 16:47:50 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-09 16:47:50 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3763 ms
2023-12-09 16:47:51 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-12-09 16:47:52 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5cb0c928
2023-12-09 16:47:52 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-12-09 16:47:52 [restartedMain] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.0 by Redgate
2023-12-09 16:47:52 [restartedMain] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2023-12-09 16:47:52 [restartedMain] INFO  o.f.c.i.license.VersionPrinter - 
2023-12-09 16:47:52 [restartedMain] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/green_plate (PostgreSQL 15.2)
2023-12-09 16:47:52 [restartedMain] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.183s)
2023-12-09 16:47:52 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 1693875161
